wish_list_id,user_id,product_id
1,1,613
2,2,1125
3,3,734
4,4,946
5,5,653
6,6,1103
7,7,342
8,8,250
9,9,193
10,10,872
11,11,588
12,12,483
13,13,24
14,14,896
15,15,700
16,16,1093
17,17,340
18,18,1027
19,19,429
20,20,1298
21,21,1271
22,22,206
23,23,965
24,24,1318
25,25,1366
26,26,1336
27,27,1295
28,28,1496
29,29,400
30,30,493
31,31,1451
32,32,722
33,33,911
34,34,284
35,35,607
36,36,289
37,37,1462
38,38,829
39,39,1487
40,40,638
41,41,137
42,42,246
43,43,127
44,44,194
45,45,1314
46,46,913
47,47,184
48,48,943
49,49,288
50,50,1287
51,51,1279
52,52,1397
53,53,697
54,54,367
55,55,1016
56,56,236
57,57,640
58,58,434
59,59,1087
60,60,113
61,61,1138
62,62,14
63,63,434
64,64,1089
65,65,292
66,66,126
67,67,988
68,68,1408
69,69,925
70,70,766
71,71,1260
72,72,560
73,73,1246
74,74,1295
75,75,512
76,76,828
77,77,1318
78,78,65
79,79,1134
80,80,575
81,81,1074
82,82,265
83,83,1302
84,84,1266
85,85,610
86,86,1297
87,87,1488
88,88,549
89,89,1109
90,90,892
91,91,572
92,92,1062
93,93,687
94,94,1241
95,95,1158
96,96,1203
97,97,859
98,98,207
99,99,893
100,100,892
101,101,810
102,102,307
103,103,78
104,104,1302
105,105,1480
106,106,979
107,107,1027
108,108,1173
109,109,1037
110,110,1005
111,111,1023
112,112,557
113,113,102
114,114,1440
115,115,1157
116,116,219
117,117,1349
118,118,452
119,119,80
120,120,1224
121,121,845
122,122,471
123,123,640
124,124,954
125,125,283
126,126,272
127,127,1341
128,128,1067
129,129,84
130,130,112
131,131,53
132,132,440
133,133,612
134,134,1288
135,135,81
136,136,1311
137,137,52
138,138,1420
139,139,444
140,140,892
141,141,692
142,142,384
143,143,7
144,144,1140
145,145,234
146,146,919
147,147,207
148,148,1058
149,149,874
150,150,92
151,151,332
152,152,912
153,153,1236
154,154,976
155,155,1399
156,156,793
157,157,624
158,158,1053
159,159,920
160,160,300
161,161,1012
162,162,170
163,163,1198
164,164,1458
165,165,1069
166,166,629
167,167,1229
168,168,1255
169,169,186
170,170,806
171,171,923
172,172,400
173,173,1085
174,174,1091
175,175,906
176,176,1054
177,177,281
178,178,360
179,179,1328
180,180,25
181,181,806
182,182,978
183,183,780
184,184,1196
185,185,578
186,186,266
187,187,441
188,188,107
189,189,1128
190,190,335
191,191,533
192,192,1109
193,193,415
194,194,724
195,195,284
196,196,1219
197,197,1111
198,198,23
199,199,227
200,200,1163
201,201,1189
202,202,536
203,203,964
204,204,1372
205,205,593
206,206,1244
207,207,1047
208,208,1440
209,209,679
210,210,594
211,211,586
212,212,198
213,213,168
214,214,759
215,215,1476
216,216,1386
217,217,1141
218,218,1370
219,219,283
220,220,346
221,221,946
222,222,812
223,223,1235
224,224,1127
225,225,1317
226,226,596
227,227,706
228,228,1175
229,229,1019
230,230,1367
231,231,845
232,232,729
233,233,1216
234,234,55
235,235,933
236,236,317
237,237,276
238,238,811
239,239,1269
240,240,274
241,241,130
242,242,572
243,243,762
244,244,30
245,245,625
246,246,99
247,247,389
248,248,370
249,249,1013
250,250,269
251,251,1006
252,252,1183
253,253,1195
254,254,637
255,255,248
256,256,1162
257,257,660
258,258,662
259,259,1042
260,260,231
261,261,196
262,262,677
263,263,1061
264,264,366
265,265,473
266,266,599
267,267,1415
268,268,220
269,269,67
270,270,1305
271,271,828
272,272,1423
273,273,436
274,274,995
275,275,415
276,276,361
277,277,962
278,278,786
279,279,622
280,280,1338
281,281,648
282,282,1364
283,283,858
284,284,1373
285,285,169
286,286,1131
287,287,760
288,288,1431
289,289,193
290,290,1287
291,291,551
292,292,1477
293,293,393
294,294,538
295,295,1223
296,296,575
297,297,316
298,298,236
299,299,6
300,300,1092
301,301,963
302,302,147
303,303,748
304,304,1031
305,305,1080
306,306,587
307,307,365
308,308,1362
309,309,513
310,310,1479
311,311,336
312,312,934
313,313,553
314,314,1010
315,315,318
316,316,1288
317,317,524
318,318,1004
319,319,124
320,320,1462
321,321,664
322,322,53
323,323,719
324,324,819
325,325,1144
326,326,173
327,327,1013
328,328,1106
329,329,1269
330,330,17
331,331,317
332,332,548
333,333,83
334,334,962
335,335,631
336,336,617
337,337,1115
338,338,280
339,339,217
340,340,1116
341,341,525
342,342,345
343,343,1450
344,344,61
345,345,1077
346,346,536
347,347,1242
348,348,1212
349,349,466
350,350,1285
351,351,366
352,352,1068
353,353,660
354,354,466
355,355,291
356,356,65
357,357,1237
358,358,190
359,359,300
360,360,232
361,361,1140
362,362,387
363,363,272
364,364,503
365,365,911
366,366,971
367,367,348
368,368,418
369,369,1387
370,370,31
371,371,700
372,372,356
373,373,34
374,374,392
375,375,982
376,376,236
377,377,825
378,378,102
379,379,1232
380,380,170
381,381,1410
382,382,924
383,383,818
384,384,1104
385,385,848
386,386,1387
387,387,1158
388,388,142
389,389,1188
390,390,91
391,391,1378
392,392,28
393,393,273
394,394,426
395,395,1432
396,396,742
397,397,640
398,398,1289
399,399,96
400,400,1089
401,401,383
402,402,1070
403,403,1161
404,404,384
405,405,176
406,406,438
407,407,1074
408,408,661
409,409,1252
410,410,220
411,411,1136
412,412,1050
413,413,270
414,414,367
415,415,494
416,416,336
417,417,1400
418,418,752
419,419,236
420,420,1475
421,421,1103
422,422,692
423,423,346
424,424,806
425,425,102
426,426,886
427,427,1066
428,428,710
429,429,97
430,430,228
431,431,729
432,432,641
433,433,921
434,434,1065
435,435,15
436,436,66
437,437,1064
438,438,1066
439,439,370
440,440,702
441,441,146
442,442,1006
443,443,1386
444,444,746
445,445,430
446,446,1073
447,447,190
448,448,1091
449,449,229
