product_id,image
0,https://paperclip.link/assets/testing/images/products/10.jpeg
0,https://paperclip.link/assets/testing/images/products/10i.jpeg
1,https://paperclip.link/assets/testing/images/products/10.jpeg
1,https://paperclip.link/assets/testing/images/products/10i.jpeg
2,https://paperclip.link/assets/testing/images/products/6.jpeg
2,https://paperclip.link/assets/testing/images/products/6i.jpeg
3,https://paperclip.link/assets/testing/images/products/9.jpeg
3,https://paperclip.link/assets/testing/images/products/9i.jpeg
4,https://paperclip.link/assets/testing/images/products/1.jpeg
4,https://paperclip.link/assets/testing/images/products/1i.jpeg
5,https://paperclip.link/assets/testing/images/products/4.jpeg
5,https://paperclip.link/assets/testing/images/products/4i.jpeg
6,https://paperclip.link/assets/testing/images/products/3.jpeg
6,https://paperclip.link/assets/testing/images/products/3i.jpeg
7,https://paperclip.link/assets/testing/images/products/2.jpeg
7,https://paperclip.link/assets/testing/images/products/2i.jpeg
8,https://paperclip.link/assets/testing/images/products/1.jpeg
8,https://paperclip.link/assets/testing/images/products/1i.jpeg
9,https://paperclip.link/assets/testing/images/products/2.jpeg
9,https://paperclip.link/assets/testing/images/products/2i.jpeg
10,https://paperclip.link/assets/testing/images/products/8.jpeg
10,https://paperclip.link/assets/testing/images/products/8i.jpeg
11,https://paperclip.link/assets/testing/images/products/3.jpeg
11,https://paperclip.link/assets/testing/images/products/3i.jpeg
12,https://paperclip.link/assets/testing/images/products/8.jpeg
12,https://paperclip.link/assets/testing/images/products/8i.jpeg
13,https://paperclip.link/assets/testing/images/products/3.jpeg
13,https://paperclip.link/assets/testing/images/products/3i.jpeg
14,https://paperclip.link/assets/testing/images/products/3.jpeg
14,https://paperclip.link/assets/testing/images/products/3i.jpeg
15,https://paperclip.link/assets/testing/images/products/4.jpeg
15,https://paperclip.link/assets/testing/images/products/4i.jpeg
16,https://paperclip.link/assets/testing/images/products/10.jpeg
16,https://paperclip.link/assets/testing/images/products/10i.jpeg
17,https://paperclip.link/assets/testing/images/products/1.jpeg
17,https://paperclip.link/assets/testing/images/products/1i.jpeg
